1;11;6;3;5;13;14;10;7;15;16;12;2;9;8;4;
1;11;8;3;5;13;16;10;7;15;14;12;2;9;6;4;
1;11;12;4;5;13;16;10;7;15;14;8;2;9;6;3;
1;11;6;3;5;16;14;10;7;15;13;12;2;9;8;4;
1;7;11;4;5;14;16;12;8;13;15;10;3;6;9;2;
1;7;11;4;5;14;13;12;8;16;15;10;3;6;9;2;
1;11;12;2;5;13;16;7;8;14;15;9;3;6;10;4;
1;9;6;3;7;15;13;8;5;14;16;11;2;12;10;4;
1;7;11;2;8;16;14;5;12;13;15;9;3;6;10;4;
2;7;5;1;9;15;13;11;6;14;16;12;3;8;10;4;
2;7;5;1;9;15;13;11;6;14;16;8;4;12;10;3;
2;7;5;1;9;15;16;11;8;13;14;6;4;12;10;3;
2;7;5;1;9;15;13;11;8;16;14;6;4;12;10;3;
2;9;6;3;10;15;16;8;12;13;14;5;4;11;7;1;
2;9;6;3;10;15;13;8;12;16;14;5;4;11;7;1;
2;5;9;4;11;14;15;10;7;16;13;6;1;8;12;3;
2;5;7;1;12;14;15;9;10;16;13;6;4;11;8;3;
2;7;9;4;12;16;15;10;11;13;14;6;1;5;8;3;
3;8;11;4;6;13;16;10;9;15;14;12;1;7;5;2;
3;8;5;1;6;13;14;7;9;15;16;11;2;10;12;4;
3;8;5;1;6;16;14;7;9;15;13;11;2;10;12;4;
3;8;5;1;6;14;13;11;10;15;16;12;4;9;7;2;
3;12;8;1;6;13;16;7;10;15;14;11;4;9;5;2;
3;10;12;4;6;14;16;8;11;13;15;9;1;5;7;2;
3;10;12;4;6;14;13;8;11;16;15;9;1;5;7;2;
3;6;9;2;8;14;15;7;10;16;13;5;4;12;11;1;
3;10;12;4;8;16;14;6;11;13;15;9;1;5;7;2;
4;10;6;3;9;15;13;12;5;14;16;8;2;11;7;1;
4;10;6;3;9;15;14;8;7;16;13;5;2;12;11;1;
4;12;10;2;11;13;15;9;7;14;16;6;1;5;8;3;
4;12;10;2;11;16;15;9;7;14;13;6;1;5;8;3;
4;10;12;2;11;16;14;5;8;13;15;7;3;6;9;1;
4;6;9;2;12;14;15;7;10;16;13;5;3;8;11;1;
4;8;9;2;12;13;15;7;10;14;16;5;3;6;11;1;
4;8;9;2;12;16;15;7;10;14;13;5;3;6;11;1;
4;10;8;3;12;16;14;6;11;13;15;9;1;5;7;2;
